sku,brand,brand_ar,ingredient_id,ingredient,strength,form,manufacturer,price_egp,status,atc,equiv_group,nti
SKU055,Metfex XR,ميتفكس,ING021,Metformax,1000 mg,"tablet, extended release",Delta Labs,68.0,available,A10BA02,antidiabetic_oral,False
SKU056,Diaclex MR,دياكلكس,ING022,Gliclazex,60 mg,"tablet, modified release",Horus Pharm,72.0,available,A10BB09,antidiabetic_oral,False
SKU057,Atorex,أتوركس,ING023,Atorvastin,20 mg,tablet,Delta Labs,64.0,shortage,C10AA05,statin,False
SKU058,Lipidex,ليبيدكس,ING023,Atorvastin,20 mg,tablet,Sphinx Pharma,59.0,available,C10AA05,statin,False
SKU059,Lipidex,ليبيدكس,ING023,Atorvastin,40 mg,tablet,Sphinx Pharma,86.0,available,C10AA05,statin,False
SKU060,Rosulex,روزوليكس,ING024,Rosuvastin,10 mg,tablet,Horus Pharm,78.0,available,C10AA07,statin,False
SKU061,Rosulex,روزوليكس,ING024,Rosuvastin,20 mg,tablet,Horus Pharm,104.0,available,C10AA07,statin,False
SKU062,Denufex,دينوفكس,ING025,Denufolin,100 mg/mL,solution for injection,Nile Pharma,1250.0,shortage,V03AB99,orphan_antidote,False
SKU063,Verapex,فيرابكس,ING026,Verapaxil,80 mg,tablet,Sphinx Pharma,31.0,available,C08DA01,ccb_nondhp,False
SKU064,Verapex SR,فيرابكس,ING026,Verapaxil,240 mg,"tablet, sustained release",Sphinx Pharma,69.0,available,C08DA01,ccb_nondhp,False
